nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
Loire-Atlantique;Nantes;"Victor Hugo";140;PM10;19;microg/m3;"moyenne journalière";V;2021-03-12;UTC
Loire-Atlantique;Nantes;"Victor Hugo";140;PM10;;;"moyenne journalière";;2021-03-13;UTC
Loire-Atlantique;Nantes;"Les Couëts";239;PM10;23;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Loire-Atlantique;Nantes;"Les Couëts";239;PM10;35;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Loire-Atlantique;Nantes;"Les Couëts";239;PM10;44;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Loire-Atlantique;Nantes;"Les Couëts";239;PM10;32;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Loire-Atlantique;Nantes;"Les Couëts";239;PM10;21;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Loire-Atlantique;Nantes;"Les Couëts";239;PM10;22;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Loire-Atlantique;Nantes;"Les Couëts";239;PM10;25;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Loire-Atlantique;Nantes;"Les Couëts";239;PM10;26;microg/m3;"moyenne journalière";V;2021-03-07;UTC
Loire-Atlantique;Nantes;"Les Couëts";239;PM10;39;microg/m3;"moyenne journalière";V;2021-03-08;UTC
Loire-Atlantique;Nantes;"Les Couëts";239;PM10;42;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Loire-Atlantique;Nantes;"Les Couëts";239;PM10;29;microg/m3;"moyenne journalière";V;2021-03-10;UTC
Loire-Atlantique;Nantes;"Les Couëts";239;PM10;18;microg/m3;"moyenne journalière";V;2021-03-11;UTC
Loire-Atlantique;Nantes;"Les Couëts";239;PM10;18;microg/m3;"moyenne journalière";V;2021-03-12;UTC
Loire-Atlantique;Nantes;"Les Couëts";239;PM10;;;"moyenne journalière";;2021-03-13;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;20;microg/m3;"moyenne journalière";V;2021-02-28;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;31;microg/m3;"moyenne journalière";V;2021-03-01;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;35;microg/m3;"moyenne journalière";V;2021-03-02;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;31;microg/m3;"moyenne journalière";V;2021-03-03;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;;;"moyenne journalière";;2021-03-04;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;;;"moyenne journalière";;2021-03-05;UTC
